run,step,loss
100% data (432 eps),0,0.0434
100% data (432 eps),100,0.0309
100% data (432 eps),200,0.0258
100% data (432 eps),300,0.0173
100% data (432 eps),400,0.009
100% data (432 eps),500,0.0074
100% data (432 eps),600,0.0061
100% data (432 eps),700,0.0053
100% data (432 eps),800,0.0047
100% data (432 eps),900,0.005
100% data (432 eps),1000,0.0054
100% data (432 eps),1100,0.0053
100% data (432 eps),1200,0.0049
100% data (432 eps),1300,0.0044
100% data (432 eps),1400,0.005
100% data (432 eps),1500,0.0054
100% data (432 eps),1600,0.0056
100% data (432 eps),1700,0.0055
100% data (432 eps),1800,0.0045
100% data (432 eps),1900,0.0046
100% data (432 eps),2000,0.0045
100% data (432 eps),2100,0.0049
100% data (432 eps),2200,0.0048
100% data (432 eps),2300,0.0043
100% data (432 eps),2400,0.0045
100% data (432 eps),2500,0.0045
100% data (432 eps),2600,0.0054
100% data (432 eps),2700,0.0052
100% data (432 eps),2800,0.0044
100% data (432 eps),2900,0.0049
100% data (432 eps),3000,0.0048
100% data (432 eps),3100,0.0039
100% data (432 eps),3200,0.0056
100% data (432 eps),3300,0.0037
100% data (432 eps),3400,0.0044
100% data (432 eps),3500,0.005
100% data (432 eps),3600,0.0041
100% data (432 eps),3700,0.0049
100% data (432 eps),3800,0.0046
100% data (432 eps),3900,0.0047
50% data (213 eps),0,0.0318
50% data (213 eps),100,0.0311
50% data (213 eps),200,0.0258
50% data (213 eps),300,0.0171
50% data (213 eps),400,0.0087
50% data (213 eps),500,0.0073
50% data (213 eps),600,0.0061
50% data (213 eps),700,0.0048
50% data (213 eps),800,0.0049
50% data (213 eps),900,0.0047
50% data (213 eps),1000,0.0056
50% data (213 eps),1100,0.0056
50% data (213 eps),1200,0.0051
50% data (213 eps),1300,0.0045
50% data (213 eps),1400,0.0048
50% data (213 eps),1500,0.0051
50% data (213 eps),1600,0.0056
50% data (213 eps),1700,0.0052
50% data (213 eps),1800,0.0046
50% data (213 eps),1900,0.0045
50% data (213 eps),2000,0.0043
50% data (213 eps),2100,0.0047
50% data (213 eps),2200,0.0047
50% data (213 eps),2300,0.0039
50% data (213 eps),2400,0.0045
50% data (213 eps),2500,0.0045
50% data (213 eps),2600,0.0051
50% data (213 eps),2700,0.0046
50% data (213 eps),2800,0.0045
50% data (213 eps),2900,0.0051
50% data (213 eps),3000,0.0049
50% data (213 eps),3100,0.004
50% data (213 eps),3200,0.0052
50% data (213 eps),3300,0.0036
50% data (213 eps),3400,0.0044
50% data (213 eps),3500,0.005
50% data (213 eps),3600,0.0038
50% data (213 eps),3700,0.0043
50% data (213 eps),3800,0.0047
50% data (213 eps),3900,0.0043
25% data (103 eps),0,0.0471
25% data (103 eps),100,0.0305
25% data (103 eps),200,0.0247
25% data (103 eps),300,0.0168
25% data (103 eps),400,0.0087
25% data (103 eps),500,0.0075
25% data (103 eps),600,0.0059
25% data (103 eps),700,0.005
25% data (103 eps),800,0.0048
25% data (103 eps),900,0.0049
25% data (103 eps),1000,0.0056
25% data (103 eps),1100,0.0055
25% data (103 eps),1200,0.0051
25% data (103 eps),1300,0.0044
25% data (103 eps),1400,0.005
25% data (103 eps),1500,0.0052
25% data (103 eps),1600,0.0053
25% data (103 eps),1700,0.0049
25% data (103 eps),1800,0.0049
25% data (103 eps),1900,0.0047
25% data (103 eps),2000,0.0044
25% data (103 eps),2100,0.0046
25% data (103 eps),2200,0.0042
25% data (103 eps),2300,0.0038
25% data (103 eps),2400,0.0041
25% data (103 eps),2500,0.0045
25% data (103 eps),2600,0.0052
25% data (103 eps),2700,0.0045
25% data (103 eps),2800,0.0044
25% data (103 eps),2900,0.0048
25% data (103 eps),3000,0.0049
25% data (103 eps),3100,0.0038
25% data (103 eps),3200,0.0051
25% data (103 eps),3300,0.0034
25% data (103 eps),3400,0.0038
25% data (103 eps),3500,0.0044
25% data (103 eps),3600,0.0041
25% data (103 eps),3700,0.0044
25% data (103 eps),3800,0.0045
25% data (103 eps),3900,0.0044
